address,postcode,state,country,address_surragate_id
060 Morning Avenue,2016,New South Wales,Australia,1
6 Meadow Vale Court,2153,New South Wales,Australia,2
0 Holy Cross Court,4211,QLD,Australia,3
17979 Del Mar Point,2448,New South Wales,Australia,4
9 Oakridge Court,3216,VIC,Australia,5
4 Delaware Trail,2210,New South Wales,Australia,6
49 Londonderry Lane,2650,New South Wales,Australia,7
97736 7th Trail,2023,New South Wales,Australia,8
93405 Ludington Park,3044,VIC,Australia,9
44339 Golden Leaf Alley,4557,QLD,Australia,10
2 Sutherland Street,3799,VIC,Australia,11
9 Mcbride Trail,2760,New South Wales,Australia,12
9861 New Castle Avenue,2428,New South Wales,Australia,13
52 Moland Street,3331,VIC,Australia,14
82391 Kensington Lane,3058,VIC,Australia,15
092 2nd Alley,2135,New South Wales,Australia,16
59 Spaight Circle,2233,New South Wales,Australia,17
032 Bartelt Crossing,2444,New South Wales,Australia,18
18 Jenna Center,2650,New South Wales,Australia,19
3 Cordelia Plaza,2153,New South Wales,Australia,20
28 5th Center,4413,QLD,Australia,21
52 Carey Alley,4740,QLD,Australia,22
96 Texas Plaza,3218,VIC,Australia,23
48 Eagan Avenue,4868,QLD,Australia,24
9 Buell Park,4116,QLD,Australia,25
02663 Buell Parkway,2519,New South Wales,Australia,26
2294 Pleasure Place,2135,New South Wales,Australia,27
2951 Petterle Place,2756,New South Wales,Australia,28
63 Lukken Drive,2170,New South Wales,Australia,29
833 Luster Way,4005,QLD,Australia,30
34 Russell Plaza,4127,QLD,Australia,31
78 Del Sol Hill,2535,New South Wales,Australia,32
54 Sage Plaza,4726,QLD,Australia,33
90 Lawn Parkway,4805,QLD,Australia,34
38726 Ilene Crossing,2212,New South Wales,Australia,35
3496 Brown Drive,2207,New South Wales,Australia,36
7188 Cody Way,3350,VIC,Australia,37
1 Claremont Park,3931,VIC,Australia,38
60 Eagan Circle,4018,QLD,Australia,39
89314 Eagle Crest Center,4670,QLD,Australia,40
2028 Lakewood Place,2480,New South Wales,Australia,41
70875 Hudson Point,3212,VIC,Australia,42
543 Killdeer Park,2322,New South Wales,Australia,43
22125 Ramsey Drive,3198,VIC,Australia,44
3107 Calypso Terrace,2210,New South Wales,Australia,45
957 Veith Junction,2047,New South Wales,Australia,46
4853 Gulseth Avenue,4503,QLD,Australia,47
9 Michigan Terrace,2145,New South Wales,Australia,48
62 Steensland Road,4350,QLD,Australia,49
6 Homewood Avenue,2142,New South Wales,Australia,50
15 Almo Lane,2029,New South Wales,Australia,51
690 Glacier Hill Circle,2127,New South Wales,Australia,52
89787 Village Green Terrace,4280,QLD,Australia,53
18 Elgar Park,2166,New South Wales,Australia,54
413 Mayer Street,2046,New South Wales,Australia,55
39 3rd Drive,2026,New South Wales,Australia,56
44516 Katie Parkway,2765,New South Wales,Australia,57
41 Schurz Center,2749,New South Wales,Australia,58
68150 Boyd Road,2745,New South Wales,Australia,59
11474 Westend Hill,3752,VIC,Australia,60
308 Jana Crossing,2153,New South Wales,Australia,61
163 Straubel Trail,2217,New South Wales,Australia,62
68294 Clarendon Crossing,2230,New South Wales,Australia,63
486 Mariners Cove Plaza,3046,VIC,Australia,64
0322 Dryden Court,3183,VIC,Australia,65
9 Bonner Road,2070,New South Wales,Australia,66
07041 Briar Crest Lane,2213,New South Wales,Australia,67
29466 Hanson Pass,4208,QLD,Australia,68
0212 Forest Run Trail,2774,New South Wales,Australia,69
33055 Menomonie Parkway,4133,QLD,Australia,70
4763 Merchant Avenue,2756,New South Wales,Australia,71
439 Ridgeway Court,4213,QLD,Australia,72
2 Clyde Gallagher Lane,4170,QLD,Australia,73
97455 Loeprich Lane,2153,New South Wales,Australia,74
9527 Ridgeway Street,2073,New South Wales,Australia,75
7 Jackson Point,3561,VIC,Australia,76
74 Anniversary Junction,2330,New South Wales,Australia,77
2083 Spaight Court,3977,VIC,Australia,78
2796 Caliangt Circle,2204,New South Wales,Australia,79
96061 Ludington Place,2086,New South Wales,Australia,80
5037 Merchant Crossing,2226,New South Wales,Australia,81
289 Haas Street,2075,New South Wales,Australia,82
4423 Bartelt Parkway,2038,New South Wales,Australia,83
